 Time(s)           Velocity(m/s)
   0.00000000       10.0000000    
  0.500000000       9.99082184    
   1.00000000       9.98205376    
   1.50000000       9.97367764    
   2.00000000       9.96567535    
   2.50000000       9.95803070    
   3.00000000       9.95072746    
   3.50000000       9.94375038    
   4.00000000       9.93708515    
   4.50000000       9.93071842    
   5.00000000       9.92463589    
   5.50000000       9.91882515    
   6.00000000       9.91327381    
   6.50000000       9.90797043    
   7.00000000       9.90290451    
   7.50000000       9.89806461    
   8.00000000       9.89344120    
   8.50000000       9.88902378    
   9.00000000       9.88480377    
   9.50000000       9.88077259    
   10.0000000       9.87692165    
   10.5000000       9.87324238    
   11.0000000       9.86972809    
   11.5000000       9.86637020    
   12.0000000       9.86316299    
   12.5000000       9.86009884    
   13.0000000       9.85717106    
   13.5000000       9.85437489    
   14.0000000       9.85170364    
   14.5000000       9.84915161    
   15.0000000       9.84671307    
   15.5000000       9.84438324    
   16.0000000       9.84215832    
   16.5000000       9.84003258    
   17.0000000       9.83800125    
   17.5000000       9.83606148    
   18.0000000       9.83420753    
   18.5000000       9.83243656    
   19.0000000       9.83074474    
   19.5000000       9.82912922    
   20.0000000       9.82758522    
   20.5000000       9.82611084    
   21.0000000       9.82470226    
   21.5000000       9.82335663    
   22.0000000       9.82207108    
   22.5000000       9.82084274    
   23.0000000       9.81966877    
   23.5000000       9.81854725    
   24.0000000       9.81747627    
   24.5000000       9.81645298    
   25.0000000       9.81547546    
   25.5000000       9.81454182    
   26.0000000       9.81365013    
   26.5000000       9.81279755    
   27.0000000       9.81198311    
   27.5000000       9.81120491    
   28.0000000       9.81046200    
   28.5000000       9.80975246    
   29.0000000       9.80907440    
   29.5000000       9.80842686    
   30.0000000       9.80780792    
   30.5000000       9.80721664    
   31.0000000       9.80665207    
   31.5000000       9.80611229    
   32.0000000       9.80559635    
   32.5000000       9.80510426    
   33.0000000       9.80463409    
   33.5000000       9.80418491    
   34.0000000       9.80375576    
   34.5000000       9.80334568    
   35.0000000       9.80295372    
   35.5000000       9.80257893    
   36.0000000       9.80222130    
   36.5000000       9.80187988    
   37.0000000       9.80155373    
   37.5000000       9.80124187    
   38.0000000       9.80094433    
   38.5000000       9.80065918    
   39.0000000       9.80038738    
   39.5000000       9.80012798    
   40.0000000       9.79988003    
   40.5000000       9.79964256    
   41.0000000       9.79941559    
   41.5000000       9.79919910    
   42.0000000       9.79899216    
   42.5000000       9.79879475    
   43.0000000       9.79860592    
   43.5000000       9.79842567    
   44.0000000       9.79825306    
   44.5000000       9.79808903    
   45.0000000       9.79793167    
   45.5000000       9.79778194    
   46.0000000       9.79763889    
   46.5000000       9.79750156    
   47.0000000       9.79737091    
   47.5000000       9.79724598    
   48.0000000       9.79712677    
   48.5000000       9.79701233    
   49.0000000       9.79690361    
   49.5000000       9.79679966    
